"id","file_name","file_hash","status","error_message","process_time_ms","created_at"
129,L112022.pdf,a6ae7b49d328e09bad008eb319d4c1ae,success,,3616,"2025-11-11 16:38:09"
130,L112023.pdf,ba516afbbbbb47ba7e95cfa930dc3aa3,processing,,0,"2025-11-11 16:38:09"
131,L112023.pdf,ba516afbbbbb47ba7e95cfa930dc3aa3,success,,4859,"2025-11-11 16:38:14"
132,L112024.pdf,"0a0b15237edb6e384ba0dd182041d75f",processing,,0,"2025-11-11 16:38:14"
133,L112024.pdf,"0a0b15237edb6e384ba0dd182041d75f",success,,63814,"2025-11-11 16:39:18"
134,L112025.pdf,f43f733a31295a4841c73f7055421e50,processing,,0,"2025-11-11 16:39:38"
135,L112025.pdf,f43f733a31295a4841c73f7055421e50,success,,19027,"2025-11-11 16:39:57"
136,L112025R.pdf,de8e5d8f1c2ab5a2b72d08ac7f6160af,processing,,0,"2025-11-11 16:39:57"
137,L112025R.pdf,de8e5d8f1c2ab5a2b72d08ac7f6160af,success,,55706,"2025-11-11 16:40:53"
138,L112026.pdf,e7df00f5304e0ba1cd5bdc11276d4597,processing,,0,"2025-11-11 16:40:53"
139,L112026.pdf,e7df00f5304e0ba1cd5bdc11276d4597,success,,80272,"2025-11-11 16:42:13"
140,L鎖-客訴資料.pdf,"01021af2bf1ad9c746a879e4e9e79742",processing,,0,"2025-11-11 16:42:33"
141,L鎖-客訴資料.pdf,"01021af2bf1ad9c746a879e4e9e79742",success,,74342,"2025-11-11 16:43:47"
142,L鎖-設變單申請單.pdf,"29f383c52a6df13fdccf717b810a8bf5",processing,,0,"2025-11-11 16:43:47"
143,L鎖-設變單申請單.pdf,"29f383c52a6df13fdccf717b810a8bf5",success,,18924,"2025-11-11 16:44:06"
144,L鎖-設變單通知單.pdf,f97675b378548c68a58b04df0be5ac0e,processing,,0,"2025-11-11 16:44:06"
145,L鎖-設變單通知單.pdf,f97675b378548c68a58b04df0be5ac0e,success,,3268,"2025-11-11 16:44:09"
146,R24159 DFMEA表.pdf,"63589af48b1a84bfddf986bd5711d2d2",processing,,0,"2025-11-11 16:44:30"
147,R24159 DFMEA表.pdf,"63589af48b1a84bfddf986bd5711d2d2",success,,76,"2025-11-11 16:44:30"
148,R24176 DFMEA表-00.pdf,"7c00fc0a1174a69a34527104dd6fb731",processing,,0,"2025-11-11 16:44:30"
149,R24176 DFMEA表-00.pdf,"7c00fc0a1174a69a34527104dd6fb731",success,,34,"2025-11-11 16:44:30"
150,R24178-DFMEA-00.pdf,"835a051a97b7256348d02aee53ce169a",processing,,0,"2025-11-11 16:44:30"
151,R24178-DFMEA-00.pdf,"835a051a97b7256348d02aee53ce169a",success,,33,"2025-11-11 16:44:30"
152,R24181-DFMEA-00.pdf,"693fc72ffb70fea0ca97569b9bcbf340",processing,,0,"2025-11-11 16:44:50"
